1788664305.645073 server started (57718): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788664305.645089 on Linux 7.2.3-arch1-2 #1 SMP PREEMPT_DYNAMIC Thu, 03 Sep 2026 17:55:06 +0000
1788664305.645095 using libevent 2.1.13-stable poll
1788664305.645097 using ncurses 6.6 20251230
1788664305.661565 yylex_token: end at WS
1788664305.661566 yylex_token: send
1788664305.661568 yylex_token: end at WS
1788664305.661569 yylex_token: -X
1788664305.661571 yylex_token: end at WS
1788664305.661573 yylex_token: previous-matching-bracket
1788664305.661575 cmd_parse_build_commands 0:0: bind
1788664305.661576 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.661578 cmd_parse_build_commands 0:2: C-M-b
1788664305.661579 cmd_parse_build_commands 0:3 0:0: send
1788664305.661581 cmd_parse_build_commands 0:3 0:1: -X
1788664305.661583 cmd_parse_build_commands 0:3 0:2: previous-matching-bracket
1788664305.661584 cmd_parse_build_commands 0:0: send
1788664305.661586 cmd_parse_build_commands 0:1: -X
1788664305.661588 cmd_parse_build_commands 0:2: previous-matching-bracket
1788664305.661590 args_parse_flags: next -X
1788664305.661591 args_parse_flags: -X
1788664305.661593 args_parse_flags: next previous-matching-bracket
1788664305.661595 args_parse: flags end at 2 of 3
1788664305.661596 args_parse: 2 = previous-matching-bracket (type STRING)
1788664305.661599 cmd_parse_build_commands: send-keys -X previous-matching-bracket
1788664305.661601 args_parse_flags: next -Tcopy-mode
1788664305.661602 args_parse_flag_argument: -T = copy-mode
1788664305.661604 args_parse_flags: next C-M-b
1788664305.661605 args_parse: flags end at 2 of 4
1788664305.661607 args_parse: 2 = C-M-b (type STRING)
1788664305.661609 args_parse: 3 = send-keys -X previous-matching-bracket (type COMMANDS)
1788664305.661613 cmd_parse_build_commands: bind-key -T copy-mode C-M-b { send-keys -X previous-matching-bracket }
1788664305.661615 cmdq_get_command: [bind-key/0x55cc012dad20] group 1989
1788664305.661617 cmdq_append <global>: [bind-key/0x55cc012dad20]
1788664305.661618 yylex_token: end at WS
1788664305.661620 yylex_token: bind
1788664305.661622 yylex_token: end at WS
1788664305.661623 yylex_token: -Tcopy-mode
1788664305.661625 yylex_token: end at WS
1788664305.661626 yylex_token: M-f
1788664305.661628 yylex_token: end at WS
1788664305.661629 yylex_token: send
1788664305.661630 yylex_token: end at WS
1788664305.661632 yylex_token: -X
1788664305.661634 yylex_token: end at WS
1788664305.661635 yylex_token: next-word-end
1788664305.661637 cmd_parse_build_commands 0:0: bind
1788664305.661638 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.661640 cmd_parse_build_commands 0:2: M-f
1788664305.661641 cmd_parse_build_commands 0:3 0:0: send
1788664305.661643 cmd_parse_build_commands 0:3 0:1: -X
1788664305.661645 cmd_parse_build_commands 0:3 0:2: next-word-end
1788664305.661648 cmd_parse_build_commands 0:0: send
1788664305.661650 cmd_parse_build_commands 0:1: -X
1788664305.661651 cmd_parse_build_commands 0:2: next-word-end
1788664305.661654 args_parse_flags: next -X
1788664305.661655 args_parse_flags: -X
1788664305.661656 args_parse_flags: next next-word-end
1788664305.661658 args_parse: flags end at 2 of 3
1788664305.661660 args_parse: 2 = next-word-end (type STRING)
1788664305.661662 cmd_parse_build_commands: send-keys -X next-word-end
1788664305.661663 args_parse_flags: next -Tcopy-mode
1788664305.661665 args_parse_flag_argument: -T = copy-mode
1788664305.661666 args_parse_flags: next M-f
1788664305.661668 args_parse: flags end at 2 of 4
1788664305.661669 args_parse: 2 = M-f (type STRING)
1788664305.661672 args_parse: 3 = send-keys -X next-word-end (type COMMANDS)
1788664305.661675 cmd_parse_build_commands: bind-key -T copy-mode M-f { send-keys -X next-word-end }
1788664305.661677 cmdq_get_command: [bind-key/0x55cc012db290] group 1997
1788664305.661679 cmdq_append <global>: [bind-key/0x55cc012db290]
1788664305.661680 yylex_token: end at WS
1788664305.661682 yylex_token: bind
1788664305.661683 yylex_token: end at WS
1788664305.661685 yylex_token: -Tcopy-mode
1788664305.661686 yylex_token: end at WS
1788664305.661690 yylex_token: C-M-f
1788664305.661692 yylex_token: end at WS
1788664305.661693 yylex_token: send
1788664305.661695 yylex_token: end at WS
1788664305.661696 yylex_token: -X
1788664305.661698 yylex_token: end at WS
1788664305.661699 yylex_token: next-matching-bracket
1788664305.661701 cmd_parse_build_commands 0:0: bind
1788664305.661703 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.661704 cmd_parse_build_commands 0:2: C-M-f
1788664305.661706 cmd_parse_build_commands 0:3 0:0: send
1788664305.661707 cmd_parse_build_commands 0:3 0:1: -X
1788664305.661709 cmd_parse_build_commands 0:3 0:2: next-matching-bracket
1788664305.661711 cmd_parse_build_commands 0:0: send
1788664305.661712 cmd_parse_build_commands 0:1: -X
1788664305.661714 cmd_parse_build_commands 0:2: next-matching-bracket
1788664305.661717 args_parse_flags: next -X
1788664305.661718 args_parse_flags: -X
1788664305.661720 args_parse_flags: next next-matching-bracket
1788664305.661721 args_parse: flags end at 2 of 3
1788664305.661723 args_parse: 2 = next-matching-bracket (type STRING)
1788664305.661725 cmd_parse_build_commands: send-keys -X next-matching-bracket
1788664305.661727 args_parse_flags: next -Tcopy-mode
1788664305.661728 args_parse_flag_argument: -T = copy-mode
1788664305.661730 args_parse_flags: next C-M-f
1788664305.661731 args_parse: flags end at 2 of 4
1788664305.661733 args_parse: 2 = C-M-f (type STRING)
1788664305.661735 args_parse: 3 = send-keys -X next-matching-bracket (type COMMANDS)
1788664305.661739 cmd_parse_build_commands: bind-key -T copy-mode C-M-f { send-keys -X next-matching-bracket }
1788664305.661741 cmdq_get_command: [bind-key/0x55cc012db810] group 2005
1788664305.661742 cmdq_append <global>: [bind-key/0x55cc012db810]
1788664305.661744 yylex_token: end at WS
1788664305.661745 yylex_token: bind
1788664305.661747 yylex_token: end at WS
1788664305.661749 yylex_token: -Tcopy-mode
1788664305.661750 yylex_token: end at WS
1788664305.661752 yylex_token: M-m
1788664305.661753 yylex_token: end at WS
1788664305.661755 yylex_token: send
1788664305.661756 yylex_token: end at WS
1788664305.661757 yylex_token: -X
1788664305.661759 yylex_token: end at WS
1788664305.661761 yylex_token: back-to-indentation
1788664305.661763 cmd_parse_build_commands 0:0: bind
1788664305.661764 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.661766 cmd_parse_build_commands 0:2: M-m
1788664305.661767 cmd_parse_build_commands 0:3 0:0: send
1788664305.661769 cmd_parse_build_commands 0:3 0:1: -X
1788664305.661770 cmd_parse_build_commands 0:3 0:2: back-to-indentation
1788664305.661772 cmd_parse_build_commands 0:0: send
1788664305.661774 cmd_parse_build_commands 0:1: -X
1788664305.661775 cmd_parse_build_commands 0:2: back-to-indentation
1788664305.661778 args_parse_flags: next -X
1788664305.661779 args_parse_flags: -X
1788664305.661781 args_parse_flags: next back-to-indentation
1788664305.661782 args_parse: flags end at 2 of 3
1788664305.661784 args_parse: 2 = back-to-indentation (type STRING)
1788664305.661786 cmd_parse_build_commands: send-keys -X back-to-indentation
1788664305.661788 args_parse_flags: next -Tcopy-mode
1788664305.661790 args_parse_flag_argument: -T = copy-mode
1788664305.661791 args_parse_flags: next M-m
1788664305.661793 args_parse: flags end at 2 of 4
1788664305.661794 args_parse: 2 = M-m (type STRING)
1788664305.661797 args_parse: 3 = send-keys -X back-to-indentation (type COMMANDS)
1788664305.661800 cmd_parse_build_commands: bind-key -T copy-mode M-m { send-keys -X back-to-indentation }
1788664305.661804 cmdq_get_command: [bind-key/0x55cc012dbe60] group 2013
1788664305.661805 cmdq_append <global>: [bind-key/0x55cc012dbe60]
1788664305.661807 yylex_token: end at WS
1788664305.661808 yylex_token: bind
1788664305.661809 yylex_token: end at WS
1788664305.661811 yylex_token: -Tcopy-mode
1788664305.661812 yylex_token: end at WS
1788664305.661813 yylex_token: M-r
1788664305.661815 yylex_token: end at WS
1788664305.661816 yylex_token: send
1788664305.661817 yylex_token: end at WS
1788664305.661819 yylex_token: -X
1788664305.661827 yylex_token: end at WS
1788664305.661828 yylex_token: middle-line
1788664305.661830 cmd_parse_build_commands 0:0: bind
1788664305.661831 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.661833 cmd_parse_build_commands 0:2: M-r
1788664305.661834 cmd_parse_build_commands 0:3 0:0: send
1788664305.661835 cmd_parse_build_commands 0:3 0:1: -X
1788664305.661837 cmd_parse_build_commands 0:3 0:2: middle-line
1788664305.661838 cmd_parse_build_commands 0:0: send
1788664305.661840 cmd_parse_build_commands 0:1: -X
1788664305.661841 cmd_parse_build_commands 0:2: middle-line
1788664305.661843 args_parse_flags: next -X
1788664305.661845 args_parse_flags: -X
1788664305.661846 args_parse_flags: next middle-line
1788664305.661847 args_parse: flags end at 2 of 3
1788664305.661849 args_parse: 2 = middle-line (type STRING)
1788664305.661851 cmd_parse_build_commands: send-keys -X middle-line
1788664305.661852 args_parse_flags: next -Tcopy-mode
1788664305.661854 args_parse_flag_argument: -T = copy-mode
1788664305.661855 args_parse_flags: next M-r
1788664305.661856 args_parse: flags end at 2 of 4
1788664305.661857 args_parse: 2 = M-r (type STRING)
1788664305.661860 args_parse: 3 = send-keys -X middle-line (type COMMANDS)
1788664305.661863 cmd_parse_build_commands: bind-key -T copy-mode M-r { send-keys -X middle-line }
1788664305.661864 cmdq_get_command: [bind-key/0x55cc012dc2d0] group 2021
1788664305.661866 cmdq_append <global>: [bind-key/0x55cc012dc2d0]
1788664305.661867 yylex_token: end at WS
1788664305.661868 yylex_token: bind
1788664305.661870 yylex_token: end at WS
1788664305.661871 yylex_token: -Tcopy-mode
1788664305.661873 yylex_token: end at WS
1788664305.661874 yylex_token: M-v
1788664305.661875 yylex_token: end at WS
1788664305.661876 yylex_token: send
1788664305.661878 yylex_token: end at WS
1788664305.661879 yylex_token: -X
1788664305.661881 yylex_token: end at WS
1788664305.661882 yylex_token: page-up
1788664305.661883 cmd_parse_build_commands 0:0: bind
1788664305.661885 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.661886 cmd_parse_build_commands 0:2: M-v
1788664305.661888 cmd_parse_build_commands 0:3 0:0: send
1788664305.661889 cmd_parse_build_commands 0:3 0:1: -X
1788664305.661890 cmd_parse_build_commands 0:3 0:2: page-up
1788664305.661892 cmd_parse_build_commands 0:0: send
1788664305.661894 cmd_parse_build_commands 0:1: -X
1788664305.661895 cmd_parse_build_commands 0:2: page-up
1788664305.661897 args_parse_flags: next -X
1788664305.661898 args_parse_flags: -X
1788664305.661900 args_parse_flags: next page-up
1788664305.661901 args_parse: flags end at 2 of 3
1788664305.661902 args_parse: 2 = page-up (type STRING)
1788664305.661904 cmd_parse_build_commands: send-keys -X page-up
1788664305.661906 args_parse_flags: next -Tcopy-mode
1788664305.661907 args_parse_flag_argument: -T = copy-mode
1788664305.661909 args_parse_flags: next M-v
1788664305.661910 args_parse: flags end at 2 of 4
1788664305.661911 args_parse: 2 = M-v (type STRING)
1788664305.661913 args_parse: 3 = send-keys -X page-up (type COMMANDS)
1788664305.661916 cmd_parse_build_commands: bind-key -T copy-mode M-v { send-keys -X page-up }
1788664305.661918 cmdq_get_command: [bind-key/0x55cc012dc5e0] group 2029
1788664305.661920 cmdq_append <global>: [bind-key/0x55cc012dc5e0]
1788664305.661921 yylex_token: end at WS
1788664305.661922 yylex_token: bind
1788664305.661924 yylex_token: end at WS
1788664305.661925 yylex_token: -Tcopy-mode
1788664305.661926 yylex_token: end at WS
1788664305.661928 yylex_token: M-w
1788664305.661929 yylex_token: end at WS
1788664305.661930 yylex_token: send
1788664305.661932 yylex_token: end at WS
1788664305.661933 yylex_token: -X
1788664305.661934 yylex_token: end at WS
1788664305.661936 yylex_token: copy-pipe-and-cancel
1788664305.661937 cmd_parse_build_commands 0:0: bind
1788664305.661939 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.661940 cmd_parse_build_commands 0:2: M-w
1788664305.661942 cmd_parse_build_commands 0:3 0:0: send
1788664305.661943 cmd_parse_build_commands 0:3 0:1: -X
1788664305.661944 cmd_parse_build_commands 0:3 0:2: copy-pipe-and-cancel
1788664305.661948 cmd_parse_build_commands 0:0: send
1788664305.661949 cmd_parse_build_commands 0:1: -X
1788664305.661951 cmd_parse_build_commands 0:2: copy-pipe-and-cancel
1788664305.661953 args_parse_flags: next -X
1788664305.661954 args_parse_flags: -X
1788664305.661956 args_parse_flags: next copy-pipe-and-cancel
1788664305.661957 args_parse: flags end at 2 of 3
1788664305.661959 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1788664305.661961 cmd_parse_build_commands: send-keys -X copy-pipe-and-cancel
1788664305.661962 args_parse_flags: next -Tcopy-mode
1788664305.661964 args_parse_flag_argument: -T = copy-mode
1788664305.661965 args_parse_flags: next M-w
1788664305.661966 args_parse: flags end at 2 of 4
1788664305.661967 args_parse: 2 = M-w (type STRING)
1788664305.661970 args_parse: 3 = send-keys -X copy-pipe-and-cancel (type COMMANDS)
1788664305.661973 cmd_parse_build_commands: bind-key -T copy-mode M-w { send-keys -X copy-pipe-and-cancel }
1788664305.661975 cmdq_get_command: [bind-key/0x55cc012dcbf0] group 2037
1788664305.661976 cmdq_append <global>: [bind-key/0x55cc012dcbf0]
1788664305.661977 yylex_token: end at WS
1788664305.661979 yylex_token: bind
1788664305.661980 yylex_token: end at WS
1788664305.661981 yylex_token: -Tcopy-mode
1788664305.661983 yylex_token: end at WS
1788664305.661984 yylex_token: M-x
1788664305.661986 yylex_token: end at WS
1788664305.661987 yylex_token: send
1788664305.661988 yylex_token: end at WS
1788664305.661989 yylex_token: -X
1788664305.661991 yylex_token: end at WS
1788664305.661992 yylex_token: jump-to-mark
1788664305.661994 cmd_parse_build_commands 0:0: bind
1788664305.661995 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.661996 cmd_parse_build_commands 0:2: M-x
1788664305.661998 cmd_parse_build_commands 0:3 0:0: send
1788664305.661999 cmd_parse_build_commands 0:3 0:1: -X
1788664305.662001 cmd_parse_build_commands 0:3 0:2: jump-to-mark
1788664305.662002 cmd_parse_build_commands 0:0: send
1788664305.662004 cmd_parse_build_commands 0:1: -X
1788664305.662005 cmd_parse_build_commands 0:2: jump-to-mark
1788664305.662007 args_parse_flags: next -X
1788664305.662008 args_parse_flags: -X
1788664305.662010 args_parse_flags: next jump-to-mark
1788664305.662011 args_parse: flags end at 2 of 3
1788664305.662012 args_parse: 2 = jump-to-mark (type STRING)
1788664305.662016 cmd_parse_build_commands: send-keys -X jump-to-mark
1788664305.662017 args_parse_flags: next -Tcopy-mode
1788664305.662019 args_parse_flag_argument: -T = copy-mode
1788664305.662020 args_parse_flags: next M-x
1788664305.662021 args_parse: flags end at 2 of 4
1788664305.662023 args_parse: 2 = M-x (type STRING)
1788664305.662025 args_parse: 3 = send-keys -X jump-to-mark (type COMMANDS)
1788664305.662028 cmd_parse_build_commands: bind-key -T copy-mode M-x { send-keys -X jump-to-mark }
1788664305.662030 cmdq_get_command: [bind-key/0x55cc012dd060] group 2045
1788664305.662031 cmdq_append <global>: [bind-key/0x55cc012dd060]
1788664305.662033 yylex_token: end at WS
1788664305.662034 yylex_token: bind
1788664305.662035 yylex_token: end at WS
1788664305.662037 yylex_token: -Tcopy-mode
1788664305.662038 yylex_token: end at WS
1788664305.662039 yylex_token: M-{
1788664305.662041 yylex_token: end at WS
1788664305.662042 yylex_token: send
1788664305.662043 yylex_token: end at WS
1788664305.662045 yylex_token: -X
1788664305.662046 yylex_token: end at WS
1788664305.662047 yylex_token: previous-paragraph
1788664305.662049 cmd_parse_build_commands 0:0: bind
1788664305.662050 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.662052 cmd_parse_build_commands 0:2: M-{
1788664305.662053 cmd_parse_build_commands 0:3 0:0: send
1788664305.662055 cmd_parse_build_commands 0:3 0:1: -X
1788664305.662056 cmd_parse_build_commands 0:3 0:2: previous-paragraph
1788664305.662058 cmd_parse_build_commands 0:0: send
1788664305.662059 cmd_parse_build_commands 0:1: -X
1788664305.662060 cmd_parse_build_commands 0:2: previous-paragraph
1788664305.662063 args_parse_flags: next -X
1788664305.662064 args_parse_flags: -X
1788664305.662067 args_parse_flags: next previous-paragraph
1788664305.662069 args_parse: flags end at 2 of 3
1788664305.662070 args_parse: 2 = previous-paragraph (type STRING)
1788664305.662072 cmd_parse_build_commands: send-keys -X previous-paragraph
1788664305.662074 args_parse_flags: next -Tcopy-mode
1788664305.662075 args_parse_flag_argument: -T = copy-mode
1788664305.662076 args_parse_flags: next M-{
1788664305.662078 args_parse: flags end at 2 of 4
1788664305.662079 args_parse: 2 = M-{ (type STRING)
1788664305.662081 args_parse: 3 = send-keys -X previous-paragraph (type COMMANDS)
1788664305.662084 cmd_parse_build_commands: bind-key -T copy-mode "M-{" { send-keys -X previous-paragraph }
1788664305.662086 cmdq_get_command: [bind-key/0x55cc012dd690] group 2053
1788664305.662087 cmdq_append <global>: [bind-key/0x55cc012dd690]
1788664305.662089 yylex_token: end at WS
1788664305.662090 yylex_token: bind
1788664305.662091 yylex_token: end at WS
1788664305.662093 yylex_token: -Tcopy-mode
1788664305.662094 yylex_token: end at WS
1788664305.662095 yylex_token: M-}
1788664305.662097 yylex_token: end at WS
1788664305.662098 yylex_token: send
1788664305.662099 yylex_token: end at WS
1788664305.662100 yylex_token: -X
1788664305.662102 yylex_token: end at WS
1788664305.662103 yylex_token: next-paragraph
1788664305.662105 cmd_parse_build_commands 0:0: bind
1788664305.662106 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.662108 cmd_parse_build_commands 0:2: M-}
1788664305.662109 cmd_parse_build_commands 0:3 0:0: send
1788664305.662110 cmd_parse_build_commands 0:3 0:1: -X
1788664305.662112 cmd_parse_build_commands 0:3 0:2: next-paragraph
1788664305.662113 cmd_parse_build_commands 0:0: send
1788664305.662115 cmd_parse_build_commands 0:1: -X
1788664305.662116 cmd_parse_build_commands 0:2: next-paragraph
1788664305.662118 args_parse_flags: next -X
1788664305.662119 args_parse_flags: -X
1788664305.662121 args_parse_flags: next next-paragraph
1788664305.662122 args_parse: flags end at 2 of 3
1788664305.662124 args_parse: 2 = next-paragraph (type STRING)
1788664305.662126 cmd_parse_build_commands: send-keys -X next-paragraph
1788664305.662127 args_parse_flags: next -Tcopy-mode
1788664305.662128 args_parse_flag_argument: -T = copy-mode
1788664305.662130 args_parse_flags: next M-}
1788664305.662131 args_parse: flags end at 2 of 4
1788664305.662132 args_parse: 2 = M-} (type STRING)
1788664305.662134 args_parse: 3 = send-keys -X next-paragraph (type COMMANDS)
1788664305.662137 cmd_parse_build_commands: bind-key -T copy-mode "M-}" { send-keys -X next-paragraph }
1788664305.662139 cmdq_get_command: [bind-key/0x55cc012ddb70] group 2061
1788664305.662141 cmdq_append <global>: [bind-key/0x55cc012ddb70]
1788664305.662142 yylex_token: end at WS
1788664305.662143 yylex_token: bind
1788664305.662145 yylex_token: end at WS
1788664305.662146 yylex_token: -Tcopy-mode
1788664305.662148 yylex_token: end at WS
1788664305.662149 yylex_token: M-Up
1788664305.662150 yylex_token: end at WS
1788664305.662151 yylex_token: send
1788664305.662153 yylex_token: end at WS
1788664305.662154 yylex_token: -X
1788664305.662155 yylex_token: end at WS
1788664305.662157 yylex_token: halfpage-up
1788664305.662158 cmd_parse_build_commands 0:0: bind
1788664305.662160 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.662161 cmd_parse_build_commands 0:2: M-Up
1788664305.662162 cmd_parse_build_commands 0:3 0:0: send
1788664305.662164 cmd_parse_build_commands 0:3 0:1: -X
1788664305.662165 cmd_parse_build_commands 0:3 0:2: halfpage-up
1788664305.662167 cmd_parse_build_commands 0:0: send
1788664305.662168 cmd_parse_build_commands 0:1: -X
1788664305.662170 cmd_parse_build_commands 0:2: halfpage-up
1788664305.662172 args_parse_flags: next -X
1788664305.662173 args_parse_flags: -X
1788664305.662176 args_parse_flags: next halfpage-up
1788664305.662177 args_parse: flags end at 2 of 3
1788664305.662179 args_parse: 2 = halfpage-up (type STRING)
1788664305.662181 cmd_parse_build_commands: send-keys -X halfpage-up
1788664305.662182 args_parse_flags: next -Tcopy-mode
1788664305.662186 args_parse_flag_argument: -T = copy-mode
1788664305.662187 args_parse_flags: next M-Up
1788664305.662188 args_parse: flags end at 2 of 4
1788664305.662190 args_parse: 2 = M-Up (type STRING)
1788664305.662192 args_parse: 3 = send-keys -X halfpage-up (type COMMANDS)
1788664305.662195 cmd_parse_build_commands: bind-key -T copy-mode M-Up { send-keys -X halfpage-up }
1788664305.662196 cmdq_get_command: [bind-key/0x55cc012de190] group 2069
1788664305.662198 cmdq_append <global>: [bind-key/0x55cc012de190]
1788664305.662199 yylex_token: end at WS
1788664305.662201 yylex_token: bind
1788664305.662202 yylex_token: end at WS
1788664305.662203 yylex_token: -Tcopy-mode
1788664305.662205 yylex_token: end at WS
1788664305.662206 yylex_token: M-Down
1788664305.662207 yylex_token: end at WS
1788664305.662209 yylex_token: send
1788664305.662210 yylex_token: end at WS
1788664305.662211 yylex_token: -X
1788664305.662213 yylex_token: end at WS
1788664305.662214 yylex_token: halfpage-down
1788664305.662216 cmd_parse_build_commands 0:0: bind
1788664305.662217 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.662219 cmd_parse_build_commands 0:2: M-Down
1788664305.662220 cmd_parse_build_commands 0:3 0:0: send
1788664305.662221 cmd_parse_build_commands 0:3 0:1: -X
1788664305.662223 cmd_parse_build_commands 0:3 0:2: halfpage-down
1788664305.662224 cmd_parse_build_commands 0:0: send
1788664305.662226 cmd_parse_build_commands 0:1: -X
1788664305.662232 cmd_parse_build_commands 0:2: halfpage-down
1788664305.662236 args_parse_flags: next -X
1788664305.662237 args_parse_flags: -X
1788664305.662238 args_parse_flags: next halfpage-down
1788664305.662240 args_parse: flags end at 2 of 3
1788664305.662241 args_parse: 2 = halfpage-down (type STRING)
1788664305.662243 cmd_parse_build_commands: send-keys -X halfpage-down
1788664305.662244 args_parse_flags: next -Tcopy-mode
1788664305.662246 args_parse_flag_argument: -T = copy-mode
1788664305.662247 args_parse_flags: next M-Down
1788664305.662248 args_parse: flags end at 2 of 4
1788664305.662250 args_parse: 2 = M-Down (type STRING)
1788664305.662252 args_parse: 3 = send-keys -X halfpage-down (type COMMANDS)
1788664305.662255 cmd_parse_build_commands: bind-key -T copy-mode M-Down { send-keys -X halfpage-down }
1788664305.662257 cmdq_get_command: [bind-key/0x55cc012de700] group 2077
1788664305.662258 cmdq_append <global>: [bind-key/0x55cc012de700]
1788664305.662260 yylex_token: end at WS
1788664305.662261 yylex_token: bind
1788664305.662262 yylex_token: end at WS
1788664305.662264 yylex_token: -Tcopy-mode
1788664305.662265 yylex_token: end at WS
1788664305.662266 yylex_token: C-Up
1788664305.662268 yylex_token: end at WS
1788664305.662269 yylex_token: send
1788664305.662270 yylex_token: end at WS
1788664305.662272 yylex_token: -X
1788664305.662273 yylex_token: end at WS
1788664305.662274 yylex_token: scroll-up
1788664305.662276 cmd_parse_build_commands 0:0: bind
1788664305.662277 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.662279 cmd_parse_build_commands 0:2: C-Up
1788664305.662280 cmd_parse_build_commands 0:3 0:0: send
1788664305.662281 cmd_parse_build_commands 0:3 0:1: -X
1788664305.662283 cmd_parse_build_commands 0:3 0:2: scroll-up
1788664305.662284 cmd_parse_build_commands 0:0: send
1788664305.662286 cmd_parse_build_commands 0:1: -X
1788664305.662287 cmd_parse_build_commands 0:2: scroll-up
1788664305.662289 args_parse_flags: next -X
1788664305.662290 args_parse_flags: -X
1788664305.662292 args_parse_flags: next scroll-up
1788664305.662293 args_parse: flags end at 2 of 3
1788664305.662294 args_parse: 2 = scroll-up (type STRING)
1788664305.662296 cmd_parse_build_commands: send-keys -X scroll-up
1788664305.662298 args_parse_flags: next -Tcopy-mode
1788664305.662299 args_parse_flag_argument: -T = copy-mode
1788664305.662300 args_parse_flags: next C-Up
1788664305.662302 args_parse: flags end at 2 of 4
1788664305.662303 args_parse: 2 = C-Up (type STRING)
1788664305.662305 args_parse: 3 = send-keys -X scroll-up (type COMMANDS)
1788664305.662308 cmd_parse_build_commands: bind-key -T copy-mode C-Up { send-keys -X scroll-up }
1788664305.662312 cmdq_get_command: [bind-key/0x55cc012dec00] group 2085
1788664305.662313 cmdq_append <global>: [bind-key/0x55cc012dec00]
1788664305.662315 yylex_token: end at WS
1788664305.662316 yylex_token: bind
1788664305.662318 yylex_token: end at WS
1788664305.662319 yylex_token: -Tcopy-mode
1788664305.662320 yylex_token: end at WS
1788664305.662321 yylex_token: C-Down
1788664305.662323 yylex_token: end at WS
1788664305.662324 yylex_token: send
1788664305.662325 yylex_token: end at WS
1788664305.662327 yylex_token: -X
1788664305.662328 yylex_token: end at WS
1788664305.662329 yylex_token: scroll-down
1788664305.662331 cmd_parse_build_commands 0:0: bind
1788664305.662333 cmd_parse_build_commands 0:1: -Tcopy-mode
1788664305.662334 cmd_parse_build_commands 0:2: C-Down
1788664305.662335 cmd_parse_build_commands 0:3 0:0: send
1788664305.662337 cmd_parse_build_commands 0:3 0:1: -X
1788664305.662338 cmd_parse_build_commands 0:3 0:2: scroll-down
1788664305.662340 cmd_parse_build_commands 0:0: send
1788664305.662341 cmd_parse_build_commands 0:1: -X
1788664305.662342 cmd_parse_build_commands 0:2: scroll-down
1788664305.662344 args_parse_flags: next -X
1788664305.662346 args_parse_flags: -X
1788664305.662349 args_parse_flags: next scroll-down
1788664305.662350 args_parse: flags end at 2 of 3
1788664305.662352 args_parse: 2 = scroll-down (type STRING)
1788664305.662354 cmd_parse_build_commands: send-keys -X scroll-down
1788664305.662355 args_parse_flags: next -Tcopy-mode
1788664305.662357 args_parse_flag_argument: -T = copy-mode
1788664305.662358 args_parse_flags: next C-Down
1788664305.662359 args_parse: flags end at 2 of 4
1788664305.662361 args_parse: 2 = C-Down (type STRING)
1788664305.662363 args_parse: 3 = send-keys -X scroll-down (type COMMANDS)
1788664305.662366 cmd_parse_build_commands: bind-key -T copy-mode C-Down { send-keys -X scroll-down }
1788664305.662368 cmdq_get_command: [bind-key/0x55cc012df0d0] group 2093
1788664305.662369 cmdq_append <global>: [bind-key/0x55cc012df0d0]
1788664305.662371 yylex_token: end at WS
1788664305.662372 yylex_token: bind
1788664305.662373 yylex_token: end at WS
1788664305.662375 yylex_token: -Tcopy-mode-vi
1788664305.662376 yylex_token: end at WS
1788664305.662377 yylex_token: #
1788664305.662379 yylex_token: end at WS
1788664305.662380 yylex_token: send
1788664305.662381 yylex_token: end at WS
1788664305.662383 yylex_token: -FX
1788664305.662384 yylex_token: end at WS
1788664305.662385 yylex_token: search-backward
1788664305.662387 yylex_token: end at WS
1788664305.662388 yylex_token: --
1788664305.662390 yylex_token: end at WS
1788664305.662391 yylex_token: #{copy_cursor_word}
1788664305.662393 cmd_parse_build_commands 0:0: bind
1788664305.662394 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1788664305.662395 cmd_parse_build_commands 0:2: #
1788664305.662397 cmd_parse_build_commands 0:3 0:0: send
1788664305.662398 cmd_parse_build_commands 0:3 0:1: -FX
1788664305.662400 cmd_parse_build_commands 0:3 0:2: search-backward
1788664305.662401 cmd_parse_build_commands 0:3 0:3: --
1788664305.662402 cmd_parse_build_commands 0:3 0:4: #{copy_cursor_word}
1788664305.662404 cmd_parse_build_commands 0:0: send
1788664305.662405 cmd_parse_build_commands 0:1: -FX
1788664305.662407 cmd_parse_build_commands 0:2: search-backward
1788664305.662408 cmd_parse_build_commands 0:3: --
1788664305.662410 cmd_parse_build_commands 0:4: #{copy_cursor_word}
1788664305.662412 args_parse_flags: next -FX
1788664305.662413 args_parse_flags: -F
1788664305.662415 args_parse_flags: -X
